id,application_id,config_id,window_timestamp,score,severity,root_cause,evidence,created_at
00d651a7-cac2-4688-bd76-43f042bcec8d,1,1,2026-04-24 17:41:51.867216+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.011198170799999999,""latency_std"":0.000025951999999999226,""disk_io_rate"":0.005933333333329452,""memory_usage"":77383680,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.0058590401358337325,""failure_streak"":0,""net_throughput"":230.0974951181059,""memory_pressure"":0.12579625253769094,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.0627754300267961}",2026-04-24 17:41:53.655834+00
00ea092d-8e26-4330-87d6-0f769f8b4aad,1,1,2026-04-23 12:30:07.306249+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.012274683783333332,""latency_std"":0.00041778216666666664,""disk_io_rate"":0.0035333333333255725,""memory_usage"":51684010.666666664,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.00574013996884326,""failure_streak"":0,""net_throughput"":152.61128638893237,""memory_pressure"":0.1280307077154713,""memory_growth_rate"":-82002.96023759044,""cpu_container_vs_node_ratio"":0.07390738157335833}",2026-04-23 12:30:11.20059+00
01406f1a-9a06-4fc9-9c5d-bdf76cb472e3,1,1,2026-04-24 18:35:45.001076+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.01165377685,""latency_std"":0.0002822143333333334,""disk_io_rate"":0.004133333333326542,""memory_usage"":25742677.333333332,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.006341581129776064,""failure_streak"":0,""net_throughput"":239.2767316973693,""memory_pressure"":0.12616747504709985,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.05747656613074291}",2026-04-24 18:35:47.35294+00
01766ae6-c961-45a0-afae-2ea398add028,1,1,2026-04-24 17:53:46.111371+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.011822409749999999,""latency_std"":0.00019178166666666626,""disk_io_rate"":0.0028000000000247384,""memory_usage"":51583658.666666664,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.0060450468018552455,""failure_streak"":0,""net_throughput"":228.80915236609462,""memory_pressure"":0.08452532548179391,""memory_growth_rate"":15992023.363984285,""cpu_container_vs_node_ratio"":0.044448873543084404}",2026-04-24 17:53:47.405516+00
0176d835-1e63-4ccb-987f-63fe5893c5c2,1,1,2026-04-23 13:52:07.085809+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.007575465366666667,""latency_std"":0.000015149666666666785,""disk_io_rate"":0.0064666666666501746,""memory_usage"":51268266.666666664,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.005798950453895472,""failure_streak"":0,""net_throughput"":235.52844606044889,""memory_pressure"":0.12727248133318905,""memory_growth_rate"":24191.173422471245,""cpu_container_vs_node_ratio"":0.06986687293832396}",2026-04-23 13:52:15.572683+00
01787d4a-d2e3-4ab9-893b-703565fb172d,1,1,2026-04-24 19:04:03.499479+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.0076941946,""latency_std"":0.000010894000000000586,""disk_io_rate"":0.004644444444440726,""memory_usage"":77115392,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.0060519218481923116,""failure_streak"":0,""net_throughput"":239.0960755960588,""memory_pressure"":0.1296759140079481,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.06453437257129764}",2026-04-24 19:04:06.559379+00
017ed664-0704-4c92-99dd-10e642d108b4,1,1,2026-04-23 18:16:45.344949+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.01104515985,""latency_std"":0.00008584150000000073,""disk_io_rate"":0.006066666666629317,""memory_usage"":77221888,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.00378904010651584,""failure_streak"":0,""net_throughput"":240.57146726250932,""memory_pressure"":0.1296875861688634,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.04133498298010445}",2026-04-23 18:16:46.916517+00
01865710-f15c-4d2c-bba2-7241e989aba1,1,1,2026-04-24 11:46:41.074096+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.011326626916666667,""latency_std"":0.00016397083333333286,""disk_io_rate"":0.0057333333333493405,""memory_usage"":77264213.33333333,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.005960542969199519,""failure_streak"":0,""net_throughput"":148.504408724634,""memory_pressure"":0.08592716099156537,""memory_growth_rate"":-41698717.63640634,""cpu_container_vs_node_ratio"":0.06341003158726487}",2026-04-24 11:46:42.926238+00
018c7caf-f00c-4945-9619-c9a27e13c13a,1,1,2026-04-23 18:24:35.616791+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.0120492261,""latency_std"":0.0003051789999999996,""disk_io_rate"":0.005366666666668607,""memory_usage"":77099008,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.005810806215826323,""failure_streak"":0,""net_throughput"":239.38250195518378,""memory_pressure"":0.12784541010467587,""memory_growth_rate"":17363342.94460002,""cpu_container_vs_node_ratio"":0.06138175580087471}",2026-04-23 18:24:36.404606+00
01a88dab-0cce-4bbd-97c7-98bd3a57d907,1,1,2026-04-20 17:59:17.701153+00,0.3,WARNING,GENERAL_DEGRADATION,"{""error_rate"":0,""has_restart"":true,""latency_p95"":0.0117210659,""latency_std"":0.0001138939999999998,""disk_io_rate"":0.006233333333329938,""memory_usage"":77662208,""restart_flag"":0.3333333333333333,""cpu_usage_rate"":0.003956818364248156,""failure_streak"":0,""net_throughput"":242.16573217295587,""memory_pressure"":0.1266340358938501,""memory_growth_rate"":0,""cpu_container_vs_node_ratio"":0.0477686243448383}",2026-04-20 17:59:18.504699+00
